portfolio_id,farm_id,name,partner_longitude,partner_latitude,area
virtualfarmer.portfolio_74,virtualfarmer.farm_227,Alpine View,29.6128019276035,-28.7490405,204.38
virtualfarmer.portfolio_487,virtualfarmer.farm_929,Nonnashoek,28.38413833556487,-28.243913499999998,384.14
virtualfarmer.portfolio_522,virtualfarmer.farm_995,Crousvlei,27.08709503058524,-27.28508,131.4
virtualfarmer.portfolio_85,virtualfarmer.farm_49,Rietfontein,27.494413583102414,-24.8346795,371.147
virtualfarmer.portfolio_93,virtualfarmer.farm_62,Mount,28.93893201187268,-26.821103,232.372
virtualfarmer.portfolio_93,virtualfarmer.farm_60,Grootspruit,28.86927649414993,-26.874000000000002,618.655
virtualfarmer.portfolio_93,virtualfarmer.farm_61,Witnek,28.94227385029756,-26.7427895,376.427
virtualfarmer.portfolio_87,virtualfarmer.farm_94,Blaauwdrift,26.717478980021127,-28.0963465,501.473
virtualfarmer.portfolio_522,virtualfarmer.farm_987,Hartbeestkuyl,26.715636395665364,-27.439125,478.88
virtualfarmer.portfolio_93,virtualfarmer.farm_63,Zandbaken,28.993507980015448,-26.78141,1384.309
virtualfarmer.portfolio_93,virtualfarmer.farm_64,Grootpan,28.88368448586037,-26.7764635,619.808
virtualfarmer.portfolio_522,virtualfarmer.farm_964,Welmansrus,26.783557327000107,-27.393887,1669.82
virtualfarmer.portfolio_522,virtualfarmer.farm_988,Blaauwboschkom,27.057773305042275,-27.2961775,350.65
virtualfarmer.portfolio_107,virtualfarmer.farm_85,Lomagundi,26.374585314528847,-27.418999499999998,3089.894
virtualfarmer.portfolio_105,virtualfarmer.farm_79,Elandskuil,27.407251965991797,-24.7528715,354.64
virtualfarmer.portfolio_883,virtualfarmer.farm_1308,Kromdraai,27.48320206034257,-27.234787500000003,674.24
virtualfarmer.portfolio_535,virtualfarmer.farm_1028,Hulpfontein,29.05404470812808,-24.516401000000002,362.96
virtualfarmer.portfolio_522,virtualfarmer.farm_965,Uitkyk,26.826838095192414,-27.339855,297.52
virtualfarmer.portfolio_484,virtualfarmer.farm_1096,Kareekuil,25.856550978244897,-26.803614500000002,263.42
